ID,LoanStatus,LoanAmount,Term,CreditScore,AnnualIncome,Home,CreditBalance
14dd8831-6af5-400b-83ec-68e61888a048,Fully Paid,445412,Short Term,709,1167493,Home Mortgage,228190
4771cc26-131a-45db-b5aa-537ea4ba5342,Fully Paid,262328,Short Term,,,Home Mortgage,229976
